timestamp,predicted_value,change_pct,direction,trend,confidence,volatility_regime,horizon,interval_90,interval_50,interval_95,calibration_samples
2026-03-18T13:00:00,74034.39,-0.000689,-1,DOWN,0.2495,normal,30,"{'lower': np.float64(73755.5), 'upper': np.float64(74311.28), 'width': np.float64(555.78)}","{'lower': np.float64(73949.89), 'upper': np.float64(74105.41), 'width': np.float64(155.52)}","{'lower': np.float64(73536.8), 'upper': np.float64(74458.5), 'width': np.float64(921.7)}",301
2026-03-18T14:00:00,74032.65,-0.000713,-1,DOWN,0.2404,normal,31,"{'lower': np.float64(73738.85), 'upper': np.float64(74319.35), 'width': np.float64(580.5)}","{'lower': np.float64(73943.06), 'upper': np.float64(74105.33), 'width': np.float64(162.27)}","{'lower': np.float64(73518.42), 'upper': np.float64(74470.62), 'width': np.float64(952.21)}",301
2026-03-18T15:00:00,74030.92,-0.000736,-1,DOWN,0.2316,normal,32,"{'lower': np.float64(73720.63), 'upper': np.float64(74327.44), 'width': np.float64(606.81)}","{'lower': np.float64(73944.7), 'upper': np.float64(74105.97), 'width': np.float64(161.27)}","{'lower': np.float64(73500.04), 'upper': np.float64(74482.76), 'width': np.float64(982.71)}",301
2026-03-18T16:00:00,74029.18,-0.00076,-1,DOWN,0.2232,normal,33,"{'lower': np.float64(73702.4), 'upper': np.float64(74335.52), 'width': np.float64(633.12)}","{'lower': np.float64(73937.51), 'upper': np.float64(74106.54), 'width': np.float64(169.02)}","{'lower': np.float64(73481.67), 'upper': np.float64(74483.93), 'width': np.float64(1002.26)}",301
2026-03-18T17:00:00,74027.45,-0.000783,-1,DOWN,0.2151,normal,34,"{'lower': np.float64(73684.18), 'upper': np.float64(74342.78), 'width': np.float64(658.6)}","{'lower': np.float64(73929.16), 'upper': np.float64(74108.0), 'width': np.float64(178.83)}","{'lower': np.float64(73463.3), 'upper': np.float64(74492.06), 'width': np.float64(1028.76)}",301
2026-03-18T18:00:00,74025.73,-0.000806,-1,DOWN,0.2073,normal,35,"{'lower': np.float64(73665.96), 'upper': np.float64(74349.19), 'width': np.float64(683.23)}","{'lower': np.float64(73929.83), 'upper': np.float64(74108.01), 'width': np.float64(178.18)}","{'lower': np.float64(73445.0), 'upper': np.float64(74504.77), 'width': np.float64(1059.77)}",301
2026-03-18T19:00:00,74024.0,-0.00083,-1,DOWN,0.1997,normal,36,"{'lower': np.float64(73649.84), 'upper': np.float64(74355.6), 'width': np.float64(705.76)}","{'lower': np.float64(73929.11), 'upper': np.float64(74109.94), 'width': np.float64(180.83)}","{'lower': np.float64(73436.21), 'upper': np.float64(74511.63), 'width': np.float64(1075.42)}",301
2026-03-18T20:00:00,74022.28,-0.000853,-1,DOWN,0.1925,normal,37,"{'lower': np.float64(73636.48), 'upper': np.float64(74356.83), 'width': np.float64(720.35)}","{'lower': np.float64(73925.56), 'upper': np.float64(74109.12), 'width': np.float64(183.56)}","{'lower': np.float64(73430.82), 'upper': np.float64(74514.63), 'width': np.float64(1083.81)}",301
2026-03-18T21:00:00,74020.56,-0.000876,-1,DOWN,0.1855,normal,38,"{'lower': np.float64(73621.96), 'upper': np.float64(74358.03), 'width': np.float64(736.07)}","{'lower': np.float64(73922.86), 'upper': np.float64(74110.12), 'width': np.float64(187.27)}","{'lower': np.float64(73425.45), 'upper': np.float64(74517.41), 'width': np.float64(1091.97)}",301
2026-03-18T22:00:00,74018.85,-0.000899,-1,DOWN,0.1788,normal,39,"{'lower': np.float64(73607.44), 'upper': np.float64(74367.24), 'width': np.float64(759.79)}","{'lower': np.float64(73920.2), 'upper': np.float64(74111.13), 'width': np.float64(190.93)}","{'lower': np.float64(73420.07), 'upper': np.float64(74517.25), 'width': np.float64(1097.18)}",301
2026-03-18T23:00:00,74017.14,-0.000922,-1,DOWN,0.1724,normal,40,"{'lower': np.float64(73592.93), 'upper': np.float64(74376.45), 'width': np.float64(783.52)}","{'lower': np.float64(73915.94), 'upper': np.float64(74111.27), 'width': np.float64(195.33)}","{'lower': np.float64(73414.7), 'upper': np.float64(74517.7), 'width': np.float64(1103.0)}",301
2026-03-19T00:00:00,74015.43,-0.000945,-1,DOWN,0.1664,normal,41,"{'lower': np.float64(73578.42), 'upper': np.float64(74385.67), 'width': np.float64(807.25)}","{'lower': np.float64(73911.71), 'upper': np.float64(74112.48), 'width': np.float64(200.77)}","{'lower': np.float64(73409.33), 'upper': np.float64(74525.62), 'width': np.float64(1116.29)}",301
2026-03-19T01:00:00,74013.73,-0.000968,-1,DOWN,0.1608,normal,42,"{'lower': np.float64(73564.53), 'upper': np.float64(74393.46), 'width': np.float64(828.93)}","{'lower': np.float64(73904.35), 'upper': np.float64(74113.17), 'width': np.float64(208.82)}","{'lower': np.float64(73403.97), 'upper': np.float64(74528.61), 'width': np.float64(1124.64)}",301
2026-03-19T02:00:00,74012.03,-0.000991,-1,DOWN,0.1552,normal,43,"{'lower': np.float64(73550.66), 'upper': np.float64(74399.95), 'width': np.float64(849.28)}","{'lower': np.float64(73898.96), 'upper': np.float64(74109.73), 'width': np.float64(210.77)}","{'lower': np.float64(73398.61), 'upper': np.float64(74531.6), 'width': np.float64(1132.99)}",301
