$id,instrumentId,marketId,timestamp_column,open,high,low,close,tickCount,volume,qaVolume,takerBuyBAVolume,takerBuyQAVolume
9641,1,1,2026-03-10 14:21:00+00:00,69628.59,69732.79,69589.42,69732.79,7824,56.75827,3953525.8328014,38.8916,2709164.9422503
9640,1,1,2026-03-10 14:22:00+00:00,69732.79,69761.18,69648.38,69752.02,7212,14.81441,1032447.5642604,5.94356,414225.8994096
9639,1,1,2026-03-10 14:23:00+00:00,69752.03,69800.0,69712.0,69794.25,6234,18.15613,1266490.6898188,13.85596,966483.0521846
9638,1,1,2026-03-10 14:24:00+00:00,69794.24,69794.24,69716.19,69725.77,4834,18.83183,1313512.6830055,10.50425,732677.2866091
9637,1,1,2026-03-10 14:25:00+00:00,69725.76,69809.48,69707.89,69809.47,4437,8.80894,614490.6990204,6.24011,435356.0527424
9636,1,1,2026-03-10 14:26:00+00:00,69809.48,69925.39,69785.94,69833.68,8166,20.45261,1428874.630559,12.45544,870327.1646721
9635,1,1,2026-03-10 14:27:00+00:00,69833.69,69834.23,69764.44,69792.04,3804,11.4709,800558.8772209,4.11221,287008.5915039
9634,1,1,2026-03-10 14:28:00+00:00,69792.04,69869.53,69779.77,69847.9,4045,13.36048,933035.4900513,10.08506,704303.1108519
9633,1,1,2026-03-10 14:29:00+00:00,69847.89,69847.9,69786.05,69799.3,2948,13.8955,969925.0941416,1.6084,112267.4869963
9632,1,1,2026-03-10 14:30:00+00:00,69799.3,69972.38,69791.2,69972.0,6801,23.36742,1633572.2299632,17.87609,1249723.7007218
9631,1,1,2026-03-10 14:31:00+00:00,69971.99,69976.49,69832.83,69836.3,4781,14.39793,1006732.2278237,4.77641,334032.3453614
9630,1,1,2026-03-10 14:32:00+00:00,69836.3,69887.29,69809.29,69819.93,4401,16.00701,1118046.9998016,6.39699,446811.292036
9629,1,1,2026-03-10 14:33:00+00:00,69819.92,69942.0,69816.27,69931.69,4313,12.52456,875149.2213818,5.8213,406667.5532296
9628,1,1,2026-03-10 14:34:00+00:00,69931.68,70016.53,69902.12,69965.28,5933,22.01662,1541035.3568908,16.75519,1172817.0445976
9627,1,1,2026-03-10 14:35:00+00:00,69965.27,69974.09,69876.55,69941.89,5828,11.24431,786240.7892688,6.13541,428978.9260296
9626,1,1,2026-03-10 14:36:00+00:00,69941.89,69989.9,69928.95,69930.29,4111,12.85524,899209.4626988,5.27297,368891.9182478
9625,1,1,2026-03-10 14:37:00+00:00,69930.29,69982.43,69921.96,69957.3,4762,9.25641,647549.6704288,6.02164,421232.827006
9624,1,1,2026-03-10 14:38:00+00:00,69957.31,70027.93,69957.31,70027.93,3603,16.17934,1132466.9453338,13.00896,910564.3404185
9623,1,1,2026-03-10 14:39:00+00:00,70028.0,70178.33,70028.0,70177.38,8453,32.00144,2243040.7257269,17.13104,1201046.5244862
9622,1,1,2026-03-10 14:40:00+00:00,70177.38,70437.6,70177.38,70404.09,19165,98.89707,6957624.3375305,57.29134,4030156.4891425
9621,1,1,2026-03-10 14:41:00+00:00,70404.08,70428.0,70324.79,70428.0,6926,20.99337,1477465.6015406,8.50062,598158.8821228
9620,1,1,2026-03-10 14:42:00+00:00,70428.39,70450.0,70356.49,70421.1,6791,18.84293,1326737.7808587,8.34731,587725.9725367
9619,1,1,2026-03-10 14:43:00+00:00,70421.1,70478.21,70383.22,70478.21,7001,22.32121,1572137.7062634,14.9749,1054654.7867885
9618,1,1,2026-03-10 14:44:00+00:00,70478.21,70483.49,70402.0,70457.31,4684,12.46634,878284.9166412,6.50423,458206.9893809
9617,1,1,2026-03-10 14:45:00+00:00,70457.31,70556.67,70404.51,70414.17,11500,34.5864,2438102.2227197,17.66637,1245392.8691237
9616,1,1,2026-03-10 14:46:00+00:00,70414.18,70470.0,70392.0,70470.0,8132,19.69977,1387355.3192946,7.14333,503070.6064216
