$id,instrumentId,marketId,timestamp_column,open,high,low,close,tickCount,volume,qaVolume,takerBuyBAVolume,takerBuyQAVolume
4288,1,1,2025-09-19 17:00:00+00:00,116088.68,116093.18,115538.67,115542.73,83752,360.56628,41729512.2944102,143.77975,16638698.0525423
4287,1,1,2025-09-19 18:00:00+00:00,115542.73,115644.73,115382.98,115407.49,70902,388.78402,44895298.1552752,165.43651,19105266.2268075
4286,1,1,2025-09-19 19:00:00+00:00,115407.49,115479.45,115112.58,115125.12,62433,308.93231,35616882.5094451,154.05926,17762642.3529395
4285,1,1,2025-09-19 20:00:00+00:00,115125.13,115445.23,115100.0,115342.57,61182,338.84816,39071092.367803,205.61619,23706464.0578343
4284,1,1,2025-09-19 21:00:00+00:00,115342.56,115532.73,115306.07,115465.39,37181,178.46294,20597568.0579261,103.40913,11934589.6647735
4283,1,1,2025-09-19 22:00:00+00:00,115465.39,115657.28,115465.39,115613.21,37044,139.86142,16165884.3069503,73.39269,8483018.8572836
4282,1,1,2025-09-19 23:00:00+00:00,115613.21,115648.0,115448.01,115632.38,35163,155.08032,17919917.3780702,72.30205,8354811.0577663
4281,1,1,2025-09-20 00:00:00+00:00,115632.39,115730.41,115548.92,115723.73,38562,220.87363,25541621.6099609,123.16956,14242420.3729234
4280,1,1,2025-09-20 01:00:00+00:00,115723.72,115723.73,115610.84,115623.51,31248,178.50409,20647554.5656759,84.16347,9734870.3464475
4279,1,1,2025-09-20 02:00:00+00:00,115623.5,115623.51,115444.0,115606.39,28594,154.74621,17878123.4301187,75.80496,8757395.8994687
4278,1,1,2025-09-20 03:00:00+00:00,115606.4,115606.4,115408.47,115445.0,25892,162.93905,18821200.7757097,62.98086,7273646.5311161
4277,1,1,2025-09-20 04:00:00+00:00,115445.0,115582.38,115409.08,115568.41,25383,144.02474,16633922.5212489,75.94381,8771431.4164968
4276,1,1,2025-09-20 05:00:00+00:00,115568.41,115717.5,115512.63,115717.49,24006,224.42562,25951046.8017736,173.91908,20111690.2932344
4275,1,1,2025-09-20 06:00:00+00:00,115717.49,115724.34,115625.85,115700.46,19734,159.86607,18492467.3957562,92.05761,10648068.4964064
4274,1,1,2025-09-20 07:00:00+00:00,115700.47,115985.2,115683.47,115968.56,41483,231.14483,26777634.7349628,125.55447,14543243.3404051
4273,1,1,2025-09-20 08:00:00+00:00,115968.56,115968.57,115700.01,115701.43,33860,183.70782,21282598.1421463,60.84528,7049543.1122343
4272,1,1,2025-09-20 09:00:00+00:00,115701.43,115794.39,115664.11,115672.8,34306,196.19831,22705232.3096874,72.19058,8354914.7633013
4271,1,1,2025-09-20 10:00:00+00:00,115672.8,115798.16,115672.79,115747.54,32530,170.36368,19719590.9409911,72.04837,8339184.2496194
4270,1,1,2025-09-20 11:00:00+00:00,115747.54,115909.54,115747.54,115894.06,35307,242.77605,28120629.5180236,155.24073,17981053.3413945
4269,1,1,2025-09-20 12:00:00+00:00,115894.05,115950.89,115804.47,115874.49,27251,155.45643,18013025.618523,53.98467,6255438.5402081
4268,1,1,2025-09-20 13:00:00+00:00,115874.5,115951.96,115859.48,115915.8,22111,123.96705,14368168.2677413,61.5547,7134462.8579367
4267,1,1,2025-09-20 14:00:00+00:00,115915.79,116036.0,115883.3,115970.36,35600,209.62425,24305689.2122073,94.02914,10902734.6634049
4266,1,1,2025-09-20 15:00:00+00:00,115970.36,116121.81,115946.91,115986.69,48857,347.86651,40367689.0365746,156.27958,18135156.0109933
4265,1,1,2025-09-20 16:00:00+00:00,115986.7,116057.24,115882.58,116027.94,35795,226.24762,26240755.248662,111.40346,12920556.5049462
